Aaron
Abbas
Abbe
Abdallah
Abdirahim
Abdirahman
Abdulahi 
Abdullah
Abdullahi
Abdulrahman 
Abel 
Abraham
Acke
Adam
Adel
Adem
Adil
Adin
Adis
Adnan
Adrian
Adriano
Agaton
Agust
Ahmad
Ahmed
Aiden 
Ajdin
Akram
Aksel
Alan
Aland
Albert
Albin
Aldin
Alec
Alejandro 
Aleksandar
Aleksander
Alen
Alessandro
Alex
Alexander
Alexandros 
Alexis
Alf 
Alfons
Alfred
Algot
Ali
Allan
Almin
Almir
Altin
Alvar
Alve
Alvin
Alwin 
Amadeus
Amandus 
Amar
Amel
Amer
Amin
Amir
Ammar
Amos 
Anas
Anders
Andi
André
Andreas
Andréas
Andrej
Andrew
Andy
Anes
Angelo
Ante 
Anthon
Anthony
Anton
Antoni 
Antonio
Anwar 
Aram 
Aran
Aras
Arda
Arian
Arild 
Arin 
Arman
Armin
Arne 
Aron
Arthur
Artin
Artur
Arve
Arvid
Arwid
Arvin
Aryan
Assar
Aston
Astor 
Atlas 
Atle
August
Axel
Ayan
Ayaz 
Ayman 
Ayoub
Ayub
Ayuub 
Aziz
Baran
Bastian
Ben 
Benjamin
Bentley 
Benyamin
Beppe 
Berat
Bernard 
Bertil 
Bilal
Bill 
Billy
Birger 
Birk
Björn
Bo
Bob 
Bobby 
Bobo 
Bosse 
Brandon
Brian
Bror 
Bruno
Buster
Caesar 
Calle
Carl
Carl-Johan 
Carlos
Caspar
Casper
Caspian
Cazper 
Ceasar
Cesar
Cevin
Charbel
Charles
Charlie
Chris
Christian
Christofer 
Christoffer
Christopher
Christos
Claes
Colin
Collin 
Conrad 
Cornelis 
Cornelius 
Dag
Damian 
Damien
Damon 
Dan
Dani
Danial
Daniel
Danilo 
Danny
Dante
Danyar
Darian
Darin
Dario 
Daris
David
Dean
Denis
Deniz
Dennis
Denniz
Denver
Devin 
Dewin 
Dexter
Diar
Didrik
Diego
Diesel 
Dilan
Dino
Dio 
Dion
Dominic
Dominik 
Dorian 
Douglas
Dylan
Ebbe
Ebbot 
Eddie
Eddy
Edgar
Edin
Edmond
Edmund 
Edvard
Edward
Edvin
Edwin
Efe
Egil
Egon
Einar
Eldar 
Eldin
Eli
Elia 
Eliah
Elian 
Elias
Eliaz
Elijah 
Elion 
Eliot 
Elis
Ellion 
Elliot
Ellioth 
Elliott
Ellis 
Elmer
Elmin
Elof
Elton
Elvin
Elwin 
Elvis
Emanuel
Emil
Emilian 
Emilio
Emin
Emir
Emmanuel
Emmett
Emre
Emrik
Enar
Enes
Ensar
Enzo 
Eren
Eric
Erik
Erion
Erjon
Erland 
Ernst 
Eskil
Ethan 
Evan
Evert 
Eyvind 
Fabian
Felipe
Felix
Filip
Filiph
Finn 
Florian 
Folke
Francis 
Frank
Franklin 
Frans
Franz 
Fred
Freddie
Freddy
Fredric
Fredrik
Frej
Frode 
Gabriel
Georg
George
Gideon 
Gillis
Gordon
Gottfrid
Grim 
Gunnar
Gustaf
Gustav
Gusten 
Gösta 
Hadi
Haidar
Hampus
Hamza
Hanad
Hannes
Hans
Harald
Haris
Harley
Harry
Harun
Hasan
Hassan
Hector 
Hektor
Helge 
Helmer
Henning
Henri 
Henric
Henrik
Henry
Herbert 
Herman
Hilding 
Hilmer 
Hjalmar
Holger
Hubert 
Hugo
Hussein
Håkan
Ian
Ibrahim
Idris
Igor 
Ilias
Ilon
Ilyas 
Imran 
Ingemar
Ingmar 
Ingo 
Isa 
Isaac
Isac
Isak
Ishak 
Isidor 
Ismael
Ismail
Ivan
Ivar
Izak
Jack
Jackson 
Jacob
Jake 
Jakob
Jakub 
Jamal
James
Jamie
Jan
Jason 
Jasper 
Jax 
Jaxon 
Jayden 
Jens
Jeremy 
Jerry
Jesper
Jesse 
Jibril
Jim
Jimmie
Jimmy
Joachim
Joacim
Joakim
Joar
Joel
Johan
Johannes
John
Johnny
Jon
Jona 
Jonah 
Jonas
Jonatan
Jonathan
Jones
Jonny
Jordan
Josef
Joseph
Joshua
Julian
Julius
Junior 
Justin
Kaan 
Kacper 
Kai 
Kalle
Karam
Karim
Karl
Kaspar
Kasper
Kaspian 
Kelian 
Kelvin 
Kenan
Kenny
Kerem
Kerim
Kevin
Kewin
Khaled
Khalid
Kian
Kid 
Kilian 
Killian 
Kim
Kimi
Kingston 
Klas
Knut
Konrad
Konstantinos
Kristian
Kristoffer
Laban
Laith
Lars
Lasse 
Leandro
Leart
Lee 
Lennon 
Lennox 
Leo
Leon
León
Léon
Leonard
Leonardo
Leonel 
Leonell 
Leonidas 
Leopold
Levi
Levin 
Levis 
Lewis
Lex 
Lexus 
Liam
Lian
Lias 
Lincoln
Linus
Lion
Lionel
Lo 
Loa
Logan 
Loke
Lorent
Lorentz 
Lorenzo
Lorik
Lou 
Loui 
Louie 
Louis 
Love
Lowe
Luan 
Luca 
Lucas
Lucaz 
Ludvig
Ludwig
Luka
Lukas
Lukaz 
Luke 
Luqman 
Magnus
Mahamed 
Mahdi 
Mahir
Mahmoud
Maksim
Malcolm
Malcom 
Malek
Malik
Malte
Manfred
Manne
Manuel
Marc
Marcel
Marco
Marcus
Mario
Marius
Mark
Marko
Markus
Marley 
Marlon
Martin
Marwan 
Marvin
Marwin
Mason
Mateo 
Matheo
Matheus
Mathias
Matin
Mats
Matteo 
Matteus
Matthias
Matti
Mattias
Mattis
Mauritz
Max
Maxim 
Maximiliam 
Maximilian
Maximillian
Maximus
Mehdi
Mehmet 
Melker
